"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 26 18:06:35 CST 2020","Wed Aug 26 18:06:51 CST 2020","15828","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.PlayQueen","com.***REMOVED***.uitest.ios.player.PlayQueen","testSwitchEpisodePlayQueen","播放队列中切换播放声音",""
"passed","Wed Aug 26 18:09:06 CST 2020","Wed Aug 26 18:09:27 CST 2020","21785","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.BackgroundAppPlay","com.***REMOVED***.uitest.ios.player.BackgroundAppPlay","testBackgroundAppPlay","锁屏播放及app后置播放",""
"passed","Wed Aug 26 18:04:06 CST 2020","Wed Aug 26 18:04:24 CST 2020","18383","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.SwitchEpisodeBySwipe","com.***REMOVED***.uitest.ios.player.SwitchEpisodeBySwipe","testSwitchEpisodeBySwipe","大播放页滑动切换上下首",""
"passed","Wed Aug 26 18:07:08 CST 2020","Wed Aug 26 18:07:18 CST 2020","10117","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.search.SearchPlaylist","com.***REMOVED***.uitest.ios.search.SearchPlaylist","testSearchPlaylist","全局搜索播单",""
"passed","Wed Aug 26 18:03:36 CST 2020","Wed Aug 26 18:03:50 CST 2020","13692","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.search.SearchEpisode","com.***REMOVED***.uitest.ios.search.SearchEpisode","testSearchEpisode","全局搜索声音",""
"passed","Wed Aug 26 17:58:31 CST 2020","Wed Aug 26 17:58:39 CST 2020","7855","iOS 自动化测试","P0级别测试用例-登录相关","com.***REMOVED***.uitest.ios.account.TouristLogin_HalfScreenEmailLogin_LogOut","com.***REMOVED***.uitest.ios.account.TouristLogin_HalfScreenEmailLogin_LogOut","testSignOut","退出登录",""
"passed","Wed Aug 26 18:02:55 CST 2020","Wed Aug 26 18:03:23 CST 2020","28167","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.SwitchEpisodeByButton","com.***REMOVED***.uitest.ios.player.SwitchEpisodeByButton","testSwitchEpisodeByBtn","大播放页按钮切换上下首",""
"passed","Wed Aug 26 18:01:40 CST 2020","Wed Aug 26 18:02:06 CST 2020","26664","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.album.FollowUnfollowedAlbum","com.***REMOVED***.uitest.ios.album.FollowUnfollowedAlbum","testFollowAlbum","关注专辑",""
"passed","Wed Aug 26 18:05:15 CST 2020","Wed Aug 26 18:05:34 CST 2020","19332","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.PlayQueen","com.***REMOVED***.uitest.ios.player.PlayQueen","testManualSortPlayQueen","播放队列手动排序",""
"passed","Wed Aug 26 18:04:53 CST 2020","Wed Aug 26 18:04:59 CST 2020","6386","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.search.SearchEpisodeInAlbum","com.***REMOVED***.uitest.ios.search.SearchEpisodeInAlbum","testSearchEpisodeInAlbum","专辑页搜索声音",""
"passed","Wed Aug 26 18:02:27 CST 2020","Wed Aug 26 18:02:41 CST 2020","14042","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.search.RecentSearchesAndClearText","com.***REMOVED***.uitest.ios.search.RecentSearchesAndClearText","testRecentSearchesAndClearText","搜索历史和清空搜索内容测试",""
"passed","Wed Aug 26 17:54:23 CST 2020","Wed Aug 26 17:54:51 CST 2020","27965","iOS 自动化测试","P0级别测试用例-登录相关","com.***REMOVED***.uitest.ios.account.OnBoardingLimitedFreeGift","com.***REMOVED***.uitest.ios.account.OnBoardingLimitedFreeGift","testOnBoardingLimitedFreeGift","新手限免礼包",""
"passed","Wed Aug 26 18:00:29 CST 2020","Wed Aug 26 18:00:47 CST 2020","17508","iOS 自动化测试","P0级别测试用例-登录相关","com.***REMOVED***.uitest.ios.account.FacebookLogin","com.***REMOVED***.uitest.ios.account.FacebookLogin","testFacebookLogin","fb登录",""
"passed","Wed Aug 26 18:10:19 CST 2020","Wed Aug 26 18:11:17 CST 2020","57854","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.MiniBarOperation","com.***REMOVED***.uitest.ios.player.MiniBarOperation","testMiniPlayer","minibar 的打开、唤起、关闭、播放、暂停、回退",""
"passed","Wed Aug 26 18:01:09 CST 2020","Wed Aug 26 18:01:25 CST 2020","16456","iOS 自动化测试","P0级别测试用例-邮箱登录(前置条件)","com.***REMOVED***.uitest.ios.account.EmailLogin","com.***REMOVED***.uitest.ios.account.EmailLogin","testEmail_Login","邮箱登录_前置条件",""
"passed","Wed Aug 26 18:09:45 CST 2020","Wed Aug 26 18:10:04 CST 2020","18930","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.PlayerSeek","com.***REMOVED***.uitest.ios.player.PlayerSeek","testPlayerSeek","大播放页 seek",""
"passed","Wed Aug 26 18:07:31 CST 2020","Wed Aug 26 18:07:58 CST 2020","27273","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.PlayerPlayPause","com.***REMOVED***.uitest.ios.player.PlayerPlayPause","testPlayPause","播放和暂停",""
"passed","Wed Aug 26 17:58:08 CST 2020","Wed Aug 26 17:58:26 CST 2020","18950","iOS 自动化测试","P0级别测试用例-登录相关","com.***REMOVED***.uitest.ios.account.TouristLogin_HalfScreenEmailLogin_LogOut","com.***REMOVED***.uitest.ios.account.TouristLogin_HalfScreenEmailLogin_LogOut","testHalfScreenEmailLogin","邮箱半屏登录",""
"passed","Wed Aug 26 18:08:41 CST 2020","Wed Aug 26 18:08:53 CST 2020","11466","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.player.PlayCount","com.***REMOVED***.uitest.ios.player.PlayCount","testPlayCount","播放计数",""
"broken","Wed Aug 26 17:56:47 CST 2020","Wed Aug 26 17:57:11 CST 2020","23947","iOS 自动化测试","P0级别测试用例-登录相关","com.***REMOVED***.uitest.ios.account.MultiAlbumLoginSwitch","com.***REMOVED***.uitest.ios.account.MultiAlbumLoginSwitch","testMultiAlbumLoginSwitch","多专辑账号登录及切换",""
"passed","Wed Aug 26 18:08:08 CST 2020","Wed Aug 26 18:08:23 CST 2020","14625","iOS 自动化测试","P0级别测试用例-非登录用例","com.***REMOVED***.uitest.ios.search.SearchAlbum","com.***REMOVED***.uitest.ios.search.SearchAlbum","testSearchAlbum","全局搜索专辑",""
